homepage_url,email,phone,uuid
http://www.intel.com/,,1 4087658080,1e4f199c-363b-451b-a164-f94571075ee5
http://www.gruppoespresso.it/en/nc.html,,390684781,e74463f7-94a8-ab7b-ba31-f4cd57a16570
http://www.cypress.com,customercare@cypress.com,4089432600,2b76e227-6f8d-1a90-a86a-fdb291245333
http://www.microsoft.com,mdcc@microsoft.com,1800 1 441 0158,fd80725f-53fc-7009-9878-aeecf1e9ffbb
http://www.ea.com,contact@ea.com,,5a6207e2-b868-9f41-5178-8d51d2c40a93
https://www.oracle.com,oraclesales_us@oracle.com,,bef5bd4b-72c6-7877-d7ab-8bbe43f7bda7
http://www.kainos.com,info@kainos.com,617 217 2704,a307ed6d-2605-328a-e50a-d83f82871ac7
http://www.cisco.com,,8005536387,e0906c05-fae5-9591-ba5f-2142d8b0065a
http://www.cleanharbors.com,,17817925949,a59a37db-f621-afb1-6d1d-ab30d5d4eeb8
,,,97e3dae0-6b82-cd1e-b450-d54aa4a68dc7
http://www.stericycle.com,investor@stericycle.com,18473675910,86d4ca60-2c45-aa6c-8ef4-94171486c3f0
https://www.progress.com,,85221059000,ac1b64f5-4012-c3f9-59c0-1f48f1df3f5c
,,5087782000,01915de2-7ae6-9787-e397-855a71b1fafe
http://www.rovicorp.com,,1.18667E+11,27c9e2fe-77a5-a849-0c7d-3b92f7c3df9c
,,,5fe5f05b-16ed-9344-0234-1e1f2f848dd9
http://hhcainc.com,,,775ddf39-7d3b-87d4-0e07-d171e8b3af0c
http://www.mednax.com,charles_lynch@mednax.com,8002433839,ab616eb2-e1fd-130c-ac07-7ba632e437fa
http://www.aciworldwide.com,contact@aciworldwide.com,402 3907600,3a4f0bac-b368-7410-e814-6af1a425d987
http://www.sapec.be/,,32 02 513 92 58,0444d14d-5d6e-41da-8486-6a2c19a43ae0
http://netapp.com,xdl-uspr@netapp.com,1.14088E+11,bbd3ae58-58e2-d81c-42bf-97d4a07ac0d1
https://veon.com,pr@vimpelcom.com,31 20 797 7200,3565d953-9352-8281-302d-721fd05a0f6a
http://www.dickssportinggoods.com,,1.18778E+11,ecab8999-ee94-3cc6-71ce-f04c753295e7
http://www.dieteren.com/,,3225365111,682e2dd4-4aa3-e105-cb82-d978ba27872c
http://www.praxair.com,info@praxair.com,5123893345,c11ccbec-5525-1fa0-690c-69f1b3dc9ac0
http://catalystintl.org,,805 5091974,9fb1095e-0501-1ee2-2b2b-58112f60f97c
http://www.mycronic.com/about-mycronic/in-brief/,,4686385200,5eb172c2-f41b-6830-5ec0-e4d4abc438cb
http://cariboucoffee.com,,1 7635922200,383f5008-b628-a2e9-21e6-111b7bab9242
http://www.powerwave.com,,17144661000,8f8473f2-abd7-d92a-5b54-648ea9eec3fb
http://www.individual.com/,,2023637850,217a1e83-0a86-30b3-5f6a-5e0467049c75
https://www.yahoo.com/,,1855 755 1946,c30b2e7d-a46e-4c22-9533-c27efff502ae
http://www.ciena.com,social@ciena.com,91 98106 01774,d4d928a6-24f2-382b-6322-8983f5249f55
http://www.euronetworldwide.com,careers@eeft.com,13612244605,8642198d-0612-ceee-b600-d923394e163a
http://www.claruscorp.com,,,58bf2ec8-a615-b51f-30bf-0d028b5e426a
http://www.cummins.com,,812 3779289,3abc5b64-2fc3-2715-6c88-f03d8dcbb472
http://www.verisigninc.com/,info@verisign-grs.com,1.17034E+11,57f25563-7693-bb4f-3cb4-bedecf93b13f
,,,4b5e9b11-fde4-94f3-a630-b7835c122048
http://www.bechtle.com,,4971329810,cb7016e8-3517-0259-7c9b-0e092b78d743
https://www.crowncastle.com/,,877 4869377,40b837f4-0e62-adb9-e9e4-6247e18cb638
http://ferro.com,,7242283170,92a7f058-61c2-0b8d-986c-376fb982e5b6
http://www.asiainfo.com,info@asiainfo.com,86 10 8216 6688,43f794ca-2a16-9550-a8bf-a0f6d8b96222
http://www.extremenetworks.com,info@extremenetworks.com,1408 5792800,5216f574-043b-52cd-a7e6-4ffd015012c3
http://ebay.com,,41313590590,e56b0ceb-bb30-bbec-805e-d5dc7412dcb1
http://www.mtlk.com,,972 9 960 5407,12317bcb-4ee2-7fce-6ad1-d2ebcec44db2
